Player,Pos,Age,Tm,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Alex Abrines\abrinal01,SG,23,OKC,4.4,11.5,1.9,4.4,2,2.3,0.8,3.2,4,1.9,1.7,0.4,1.5,5.3,18.9,113,110,9,0.573,0.722,0.205,2.6,9.5,5.9,3.1,1.6,0.5,9.4,13.1
Quincy Acy\acyqu01,PF,26,BRK,3.3,7.7,2.7,6.5,4,5.3,1.7,8.3,9.9,1.7,1.3,1.4,1.8,5.4,19.4,113,110,7,0.504,0.779,0.201,3.4,18.9,11.1,4.7,1.1,1.3,15.6,14.4
Steven Adams\adamsst01,C,23,OKC,0,0,7.7,13.4,3.2,5.3,5.8,6.8,12.6,1.8,1.8,1.6,3,4,18.6,114,107,21.5,0.639,0.004,0.346,17.8,13.8,15.8,4.7,1.8,2.9,12.7,16.7
Arron Afflalo\afflaar01,SG,31,SAC,2,4.8,3.9,8.6,2.7,3,0.3,3.7,4,2.5,0.7,0.2,1.3,3.3,16.5,109,116,4.9,0.497,0.406,0.189,0.7,9.6,5.1,5.4,0.2,0.8,10.2,11.7
Cole Aldrich\aldrico01,C,28,MIN,0,0,4.3,8.2,1.4,2.1,4.9,10.2,15.1,2.4,2.4,2.2,1.6,8.1,10,118,107,9.2,0.372,0,0.444,12.3,16.9,14.6,4.8,3.6,3.2,8.5,18.6
LaMarcus Aldridge\aldrila01,PF,31,SAS,0.5,1.2,10.4,21.7,4.8,5.9,3.8,7.7,11.4,3,1,1.9,2.1,3.4,27.1,111,104,23.3,0.556,0.082,0.284,10.9,16.6,13.8,10.6,0.8,2.9,7.4,28.6
Tony Allen\allento01,SG,35,MEM,0.4,1.5,7,14.7,2.2,3.5,4.5,6.1,10.6,2.7,3.1,0.8,2.7,4.8,17.5,101,105,8.8,0.514,0.132,0.231,8.5,10.7,9.6,4.8,1.9,0.9,15.9,19.2
Al-Farouq Aminu\aminual01,SF,26,POR,2,5.9,3.2,7.1,2.7,3.8,2.2,10.5,12.6,2.8,1.7,1.2,2.6,2.9,14.9,100,108,12.3,0.545,0.571,0.127,4.4,21.2,13,5.2,1.4,1.8,10.3,14.7
Justin Anderson\anderju01,SF,23,DAL,2.7,8.9,5.4,11.4,5.1,6.5,2.9,8.1,10.9,2.3,2.1,1.2,2.9,4.7,24.1,101,107,13.2,0.54,0.481,0.204,6.4,12.9,9.7,6.5,1.6,1.1,5.6,17.7
Justin Anderson\anderju01,SF,23,PHI,2,6.8,5.1,8.5,3,3.9,2.8,6.2,9,3.2,1.2,0.7,2.4,4.2,19.1,109,111,13.2,0.54,0.481,0.204,6.4,12.9,9.7,6.5,1.6,1.1,5.6,17.7
Kyle Anderson\anderky01,SG,23,SAS,0.7,2,3.9,8.4,2.2,2.8,1.6,8.7,10.4,4.5,2.5,1.3,1.9,3.1,12.3,109,101,15.5,0.58,0.111,0.318,4.5,19.1,11.8,14.4,2.6,2.4,16.3,13.5
Ryan Anderson\anderry01,PF,28,HOU,4.6,11.5,2.7,6.1,2.9,3.4,2.5,4.9,7.5,1.5,0.7,0.3,1.2,3.2,22.2,119,113,12.2,0.588,0.709,0.192,6,15.7,10.8,5.1,0.7,1,8.7,14.4
Giannis Antetokounmpo\antetgi01,SF,22,MIL,0.9,3.2,10.8,19.3,8.4,10.9,2.5,10,12.5,7.7,2.3,2.7,4.2,4.4,32.7,116,104,29.6,0.614,0.09,0.503,7.3,26.3,16.7,23.9,2,2.9,10.8,31.8
Carmelo Anthony\anthoca01,SF,32,NYK,3,8.3,8.9,19.1,6,7.2,1.2,7.4,8.6,4.2,1.2,0.7,3,3.9,32.7,108,113,14,0.513,0.379,0.188,2.4,18.6,10.3,7.1,1,1.8,7.2,24.2
Trevor Ariza\arizatr01,SF,31,HOU,3.3,9.6,2.3,4.2,1.6,2.2,0.9,7,7.9,3,2.5,0.3,1.3,2.3,16.2,113,108,12.2,0.592,0.742,0.142,1.8,13.5,7.6,6.7,2.1,0.4,8.2,13.8
Darrell Arthur\arthuda01,PF,28,DEN,4.1,8.9,3.2,7.5,1.5,1.7,1.9,6.6,8.6,3.2,1.5,1.6,2.8,5.8,20,110,112,-0.7,0.363,0.478,0.043,1.6,14.5,8,5.9,2.1,1.2,25.4,19.5
D.J. Augustin\augusdj01,PG,29,ORL,3.1,8.8,3.2,7.8,4.2,5.2,0.5,3.3,3.8,6.7,1,0,2.9,3.3,19.9,104,115,14.7,0.602,0.518,0.385,1.8,8.1,4.9,22,1.9,0,16.6,18.1
Luke Babbitt\babbilu01,SF,27,MIA,4.1,9.9,1.2,3.4,0.5,0.7,0.6,6.1,6.7,1.7,0.9,0.5,1.2,5.6,15.3,110,109,12.1,0.633,0.652,0.134,1,15.7,8.3,7.1,0.5,0.8,7.9,14.9
Ron Baker\bakerro01,SG,23,NYK,1.3,5,3.4,7.6,1.6,2.5,0.7,5,5.7,6.2,2,0.5,3.3,4.3,12.5,92,113,9.4,0.504,0.559,0.441,1.5,7.2,4.4,15.7,3.4,1.4,20.4,10.1
J.J. Barea\bareajo01,PG,32,DAL,3.6,10,6,13.2,3,3.4,0.6,5.1,5.7,13,0.9,0.1,4.3,2,25.7,106,112,17.5,0.536,0.449,0.186,0.9,14.9,7.7,42.5,1.1,0.2,15.3,25.1
Harrison Barnes\barneha02,PF,24,DAL,1.4,4.1,9.7,19.6,4.5,5.2,1.7,5.6,7.3,2.2,1.2,0.3,1.9,2.4,28.2,106,111,15.9,0.537,0.252,0.255,3.5,18.6,10.8,9.5,1,0.6,8.2,24.6
Will Barton\bartowi01,SG,26,DEN,2.5,6.7,6,12.3,4.1,5.4,1.7,5.8,7.4,5.9,1.4,0.8,2.8,3.2,23.5,112,114,15.2,0.537,0.413,0.219,2.8,14.4,8.6,19.3,1.7,1.6,12.3,20.6
Nicolas Batum\batumni01,SG,28,CHO,2.6,7.8,4.9,10.9,4.7,5.4,0.9,8.3,9.2,8.7,1.6,0.6,3.7,2.1,22.3,105,108,13.2,0.521,0.415,0.196,2.8,12.8,7.7,22.7,1.5,0.9,16,18.6
Aron Baynes\baynear01,C,30,DET,0,0,6.2,12.1,3.4,4.1,4.8,9.6,14.5,1.4,0.7,1.7,2.2,7.2,15.9,114,106,11.3,0.503,0.029,0.227,8.9,22,15.6,7.9,0.8,2.7,14.5,16.3
Kent Bazemore\bazemke01,SF,27,ATL,2.3,6.7,5.1,11.4,3,4.2,1.1,4.7,5.8,4.4,2.3,1.3,3.1,4.1,20.1,97,106,15.1,0.549,0.407,0.305,1.6,14.9,8.2,20,3,2.2,17,22.5
Bradley Beal\bealbr01,SG,23,WAS,4.1,10.1,7.6,14.1,5.2,6.3,1,3.4,4.4,4.9,1.5,0.4,2.9,3.1,32.7,117,112,19.9,0.569,0.352,0.285,2.6,11.2,6.9,18.7,1.6,1.1,9.8,28.2
Michael Beasley\beaslmi01,PF,28,MIL,1,2.3,10.8,19.7,4.2,5.7,2.2,8.3,10.5,2.9,1.5,1.5,3.6,5,28.7,106,109,19.6,0.57,0.096,0.243,7.7,21.7,14.8,11.8,1.1,2.5,14.7,29.2
